"Registrant","Registration #","RegistrationDate","TerminationDate"
"Herman Associates, Inc.","2578","04/22/1975","12/31/1999"
"Herman J. Cohen & Associates","4952","09/27/1994","12/31/1995"
"Heron, Burchette, Ruckert & Rothwell","3488","06/23/1983","02/16/1990"
"Herrick, Feinstein LLP","6745","10/27/2019","10/31/2019"
"Herrick, Feinstein LLP","6185","09/09/2013","11/30/2015"
"Herring, Barry Alexander","3581","05/09/1984","12/18/1990"
"Herzfeld & Rubin, P.C.","5112","05/06/1996","11/30/1997"
"Hess, Clyde Gardner","3097","04/01/1980","12/23/1988"
"Heyward Associates, Inc.","1639","06/12/1963","10/29/1990"
"Heyward, Evelyn J.","4893","02/14/1994","02/28/2000"
"Hi-Tech Public Relations, Inc.","4335","01/25/1990","01/31/1990"
"Hichkad, Ravi Ramesh","5548","03/28/2003","05/23/2003"
"Hicks & Griest, Inc.","2656","01/28/1976","04/15/1985"
"Hidalgo, Edward","4509","05/03/1991","12/30/1993"
"High Lantern Group LLC","6967","05/31/2021","05/31/2021"
"High Lantern Group LLC","6456","08/18/2017","02/28/2018"
"Hijarunguru, Ellison K.","4192","12/08/1988","01/31/1991"
"Hill & Barlow, P.C.","5364","04/03/2000","10/10/2002"
"Hill & Knowlton, Inc.","2740","12/17/1976","10/22/1986"
"Hill & Knowlton, Inc.","2574","04/07/1975","05/05/1976"
"Hill and Knowlton Strategies, LLC","3301","11/10/1981",""
"Hill, Christopher & Phillips, P.C.","2840","10/27/1977","05/25/1982"
"Hill, Holliday, Connors, Cosmopulos, Inc.","3810","04/10/1986","04/10/1992"
"Hill, Isabel","7206","12/20/2022","11/01/2023"
"Hill, Rickey Terrell","7349","11/28/2023",""
"Hillenby, LLC","6146","12/20/2012","12/31/2013"
"Hills Stern & Morley, LLP","5965","12/15/2009","10/31/2017"
"Hilton, Susan Elaine","5234","02/11/1998","08/28/2002"
"Hitachi, Ltd.","3855","07/18/1986","01/18/1997"
"Hmong Foreign Council","5554","04/14/2003","12/27/2004"
"Hmong Kingdom ChaoFa State - US Representatives","6800","03/16/2020",""
"Ho, Jason","7109","04/18/2022","04/30/2024"
"Hoagland, Peter","5496","05/14/2002","11/30/2007"
"Hobbs, Anthony-Scott","4780","03/17/1993","12/06/1995"
"Hochschewender, Karl A.","3625","10/30/1984","06/03/1986"
"Hoegh, Westye","4948","09/21/1994","09/30/1995"
"Hoey, John J.","2790","06/01/1977","08/06/1981"
"Hoffman & Hoffman Public Relations","5203","08/26/1997","08/30/1998"
"Hoffman Mann, Inc.","2970","10/23/1978","05/03/1982"
"Hoffman and Hoffman Public Relations","5338","10/29/1999","05/30/2000"
"Hoffman, Ira E.","3872","08/19/1986","09/23/1987"
"Hoffman, Jane","7004","09/01/2021","09/30/2023"
"Hoffman, William L.","3847","06/25/1986","06/19/1987"
"Hofman, Steven I.","4810","05/28/1993","08/13/1993"
"Hogan Lovells US LLP","2244","02/18/1971",""
"Hogan, Donald W.","1238","06/19/1959","06/30/1959"
"Hohlt Group Global, LLC","6384","10/26/2016",""
"Holladay-Tyler Printing Corporation","1835","12/16/1964","12/06/1985"
"Holland & Knight","3718","08/07/1985",""
"Holland & Knight","3375","05/28/1982","04/19/1983"
"Holley, Robert Michael","5528","10/30/2002","10/31/2004"
"Holloman, Charlotte","5133","10/04/1996","01/31/1997"
"Holly Strategies Incorporated","6605","10/31/2018",""
"Hong Kong Economic & Trade Office","3880","09/11/1986","03/11/1997"
"Hong Kong Government (Industry Department)","3421","11/18/1982","05/18/1997"
"Hong Kong Tourism Board","2110","10/29/1968",""
"Hong Kong Trade Development Council, Inc.","2181","01/19/1970",""
"Hoog, Thomas W.","4025","08/11/1987","12/21/1988"
"Hooper, Hooper, Owen & Gould","4414","09/19/1990","02/09/1996"
"Hooper, Owen & Winburn","5179","05/12/1997","06/30/2001"
"Hopkins & Sutter","4362","04/11/1990","12/31/1995"
"Hopkins & Sutter","4101","03/17/1988","10/10/1989"
"Hoppel, Mayer & Coleman","3470","05/20/1983","12/17/1992"
"Hopps & Associates, Inc.","5948","09/01/2009","03/15/2010"
"Horacio Francisco Medina Herrera","7023","10/06/2021",""
"Hori & Bunker, Inc.","4272","07/17/1989","12/31/1991"
"Horizon Client Access, Inc.","6918","01/26/2021","08/31/2022"
"Horst & Frisch, Inc.","4625","03/03/1992","09/30/1992"
"Hoving, John H.F.","3720","08/19/1985","10/10/1986"
"How Handy Is That LLC","6476","10/12/2017","03/15/2018"
"Howard J. Rubenstein Associates, Inc.","3761","12/10/1985","12/23/1986"
"Howie, Irene E.","5237","02/27/1998","08/28/1998"
"Howrey & Simon","4624","02/26/1992","12/31/1995"
"Hoyle, Brian Jervey","4618","02/10/1992","06/30/1992"
"Hu, Tsu-Wang","3791","03/10/1986","01/01/1989"
"Hudson Consulting Group","5837","11/07/2007","06/30/2008"
"Hudson, Gerry B.","4665","05/13/1992","12/31/1992"
"Hugh C. Newton & Associates","2357","07/17/1972","12/31/1987"
"Hughes Hubbard & Reed, LLP","5261","06/11/1998","12/31/1998"
"Hughes, Hubbard & Reed","4804","05/19/1993","06/16/1994"
"Hulsen Media Services LLC","6669","04/25/2019","11/20/2019"
"Humanitas Global Development","6126","08/21/2012","11/15/2012"
"Hume, Ian M.","7440","08/08/2024","08/08/2024"
"Hunt, Darryl L.","5114","06/17/1996","08/15/1996"
"Hunton & Williams","5040","08/11/1995","02/11/2000"
"Hunton & Williams","3650","02/13/1985","09/12/1989"
"Hunton & Williams, LLP","5627","06/15/2004","12/31/2007"
"Hunton Andrews Kurth LLP","7268","05/10/2023",""
"Hurd, James Daniel","6674","05/08/2019","06/01/2019"
"Hurwitz & Abramson","4995","02/16/1995","02/28/1996"
"Husch Blackwell Strategies, LLC","6517","02/02/2018","05/31/2024"
"Husch Blackwell, LLP","6273","01/19/2015","01/31/2016"
"Husch Blackwell, LLP","6362","06/22/2016","08/01/2018"
"Huta, Tomasz","6636","02/08/2019",""
"Hutton-Transcon Joint Venture","6774","12/20/2019","05/01/2021"
"Hyde Park Communications, Inc.","5854","02/22/2008","12/31/2008"
"Hydeman, Mason & Goodell, P.C.","2633","11/25/1975","06/26/1981"
"Hyjek & Fix, Inc.","3660","03/19/1985","02/12/1996"
"Hyman Fine & Associates, Ltd.","3273","09/02/1981","03/06/1995"
"Hyman, Lester S.","5166","03/26/1997","07/31/2017"
"Hyman, Phelps & McNamara, P.C.","4801","04/30/1993","12/17/1993"
"Hyperfocal Communications, LLC","7267","05/05/2023",""
"Hyundai, Washington Office","4088","02/02/1988","08/02/1996"
"I Imagine, Inc.","5564","06/19/2003","09/01/2003"
"I.S.I. Enterprises, Inc.","4399","07/16/1990","01/31/1993"
"IBC New York, Inc.","5125","07/31/1996","01/31/1998"
"IBTT Consultants, Inc.","3281","10/06/1981","12/31/1987"
"IBUSZ Hungarian Travel Bureau","2910","06/07/1978","06/07/1995"
"IBUSZ Hungarian Travel Company, Midwest Office","4451","12/19/1990","09/27/1993"
"ICPR","2657","02/05/1976","02/05/1976"
"IDA Ireland","1770","07/10/1964",""
"IEP Advisors, LLP","5431","05/11/2001","08/01/2002"
"IEP Advisors, LLP","5735","03/07/2006","09/30/2006"
"IFCG, Inc","6267","12/30/2014","12/30/2014"
"IGG, LLC","7034","11/04/2021","01/31/2022"
"IKON Public Affairs","5374","06/15/2000","12/31/2000"
"IMPACT, LLC","5251","04/13/1998","04/30/2000"
"INFOPRENEURS","4843","08/06/1993","10/12/1993"
"IPAC, Inc.","4008","07/08/1987","08/20/1996"
"IPG DXTRA Entertainment, Inc. d/b/a Rogers & Cowan PMK","7327","09/27/2023","03/29/2024"
"IPG DXTRA, Inc","3911","12/01/1986","12/31/2023"
"IPG DXTRA, Inc. d/b/a Weber Shandwick","7394","04/05/2024",""
"IPSCO Tubulars, Inc.","3948","03/17/1987","03/17/1996"
"IRM (U.S.A.), Inc.","3478","05/26/1983","11/26/1983"
"ISCI-USA, Inc.","5885","10/06/2008","12/31/2011"
"ITBC LLC","6762","12/03/2019","12/03/2019"
"IYI Party Representation to the United States LLC","7204","12/19/2022","09/01/2023"
"Ibex International, Inc.","4938","08/08/1994","06/28/1995"
"Ice Miller LLP","7092","03/08/2022","07/31/2022"
"Ice Miller Strategies LLC","7005","09/01/2021","08/22/2022"
"Iceland Tourist Board","2863","02/15/1978","08/31/2011"
"Icon Group","4926","07/08/1994","07/31/2000"
"Idlbi, Qutaiba","6870","09/28/2020","07/15/2022"
"Ifrah Law, PLLC","7331","10/10/2023","03/09/2024"
"Iler Interests, LP","5669","02/14/2005","03/31/2007"
"Image Industries, Inc.","2643","12/19/1975","12/18/1984"
"Immigration Services Associates (ISA)","4602","12/26/1991","08/04/1992"
"Immobiliaria Caribe Y. Pacifico, S.A.","3993","06/15/1987","05/10/1990"
"Imnex International, Inc.","5558","04/24/2003","04/30/2004"
"Impact Management Group","6369","08/11/2016","02/15/2017"
"Impact Management Group","7393","04/02/2024",""
"Imperial Independent Media LLC","7344","11/09/2023",""
"Imperium Strategies LLC","7559","03/23/2025",""
"Imported Publications, Inc.","2459","09/12/1973","09/12/1986"
"Imus, Richard H.","4395","07/10/1990","08/15/1991"
"Independent Diplomat, Inc.","5860","04/03/2008",""
"India Tourism, Los Angeles","5873","07/08/2008","05/02/2018"
"India Tourism, New York","2329","04/05/1972","04/26/2023"
"India Trade Promotion Organization","2975","10/26/1978","07/30/2010"
"Indian Investment Centre","2435","06/12/1973","06/30/1991"
"Indo-American Chamber of Commerce","4489","03/19/1991","08/30/1997"
"Indonesia Tourist Promotion Office for North America","2757","02/15/1977","02/15/1998"
"Indorf, Hans H.","3915","12/05/1986","07/07/1987"
"InfoAid","2594","07/11/1975","08/07/1985"
"Information Management Services, Inc.","6361","06/17/2016","12/31/2016"
"Information Management Services, Inc.","6442","06/29/2017","05/31/2018"
"Information Office Republic of United States of Indonesia","612","02/13/1950","07/30/1957"
"Information for Investment Decisions, Inc. (IID)","5312","05/25/1999","11/30/2000"
"Ingalls Associates, Inc.","3119","07/02/1980","12/31/1985"
"Inle Advisory Group, LLC","6765","12/09/2019","10/09/2020"
"Inman Deming, LLP","5322","07/26/1999","01/24/2000"
"Innovation Norway","526","05/13/1948",""
"Innovative Global Initiatives and Solutions, LLC","6093","02/29/2012","04/30/2013"
"Insignias Global, LLC","6778","12/31/2019","06/30/2020"
"Institute for Business Development in Euro Asia Limited","5645","09/21/2004","09/21/2004"
"Institute for Economic Restructuring, Inc.","4959","10/06/1994","04/30/1995"
"Institute for Gilgit Baltistan Studies (IGBS)","6051","07/26/2011","01/31/2012"
"Institutional Development Associates, Ltd.","3828","05/08/1986","05/14/1987"
"Instituto Argentino de Promocion del Intercambio","489","09/23/1947","01/20/1953"
"Instituto Galego de Promocion Economica (IGAPE), New York","5210","09/12/1997","03/31/2004"
"Instituto Latinoamericano del Fierro y el Acero","4276","06/06/1989","04/30/1990"
"Integrated Solutions Group, LLC","5855","02/27/2008","06/30/2009"
"Integrated Strategy Group LLC","6933","03/05/2021","06/30/2021"
"Inter-American Associates, Inc.","3091","02/20/1980","12/31/1982"
"Inter-American News Services, Inc.","3172","12/01/1980","03/15/1985"
"InterMarketing, Ltd.","4940","08/29/1994","08/31/1994"
"InterVISTAS-ga2 Consulting, Inc.","4902","03/14/1994","09/30/2004"
"Interamerica Group","6687","06/05/2019","06/05/2019"
"Intercontinental Communications Corporation","3313","12/03/1981","06/21/1988"
"Intercontinental Development & Management Company, Inc.","3107","05/19/1980","11/19/1981"
"Interface Public Affairs","4426","10/15/1990","04/12/1993"
"Interlocke Associates","3954","03/25/1987","11/30/1990"
"International Advisers, Inc.","4203","01/11/1989","05/18/1994"
"International Advisory Services Group, Ltd.","4267","06/23/1989","12/31/1995"
"International Alcohols, Ltd.","3953","03/25/1987","08/29/1989"
"International Business Communications","3767","01/03/1986","02/11/1987"
"International Business Development & Marketing Group","5066","10/30/1995","01/01/1997"
"International Business-Government Counsellors, Inc.","3484","06/15/1983","06/23/1983"
"International Business-Government Counsellors, Inc.","3332","02/12/1982","08/12/1989"
"International Campaign for Tibet","4501","04/18/1991","06/16/1993"
"International Campaign for Tibet","5048","09/01/1995","03/01/1996"
"International Communications Marketing, Inc. (ICM)","4733","11/05/1992","06/30/1993"
"International Council of Cruise Lines","2036","07/25/1967","01/25/1996"
"International Development Systems, Inc.","4012","07/13/1987","07/13/1993"
"International Fano Coordinating Committee","7371","02/08/2024",""
"International Gold Corporation","3482","06/15/1983","07/17/1986"
"International Government Consultants, Inc.","3137","08/08/1980","11/20/1981"
"International Group of P&I Clubs","4584","11/05/1991","05/31/2006"
"International Liaison Office, Inc.","4767","02/22/1993","04/30/1996"
"International Liaison, Inc.","4032","08/27/1987","03/31/1993"
"International Maritime Associates, Inc.","3430","12/20/1982","01/13/1984"
"International Marketing Center, Ltd.","2698","06/15/1976","11/23/1992"
"International Marketing Group","2540","10/22/1974","08/30/1984"
"International Meetings & Marketing, Inc.","3583","05/09/1984","12/10/1987"
"International Merchandising Corporation","6032","04/14/2011","10/31/2018"
"International Office of the National Resistance Front of AFGH Inc.","7030","10/26/2021",""
"International Policy Solutions, LLC","5672","03/07/2005","03/31/2006"
"International Policy Solutions, LLC","6588","09/06/2018","08/31/2019"
"International Public Affairs Consultants, Inc.","3730","05/13/1986","10/31/1988"
"International Public Relations Affiliates","4174","08/30/1988","04/06/1990"
"International Public Relations Company, Ltd.","1967","03/14/1966","12/31/1991"
"International Public Relations Company, Ltd.","3839","06/04/1986","07/21/1987"
"International Registries, Inc.","4533","07/01/1991",""
"International Relief Fund, Inc.","5703","08/16/2005","01/01/2008"
"International Remediation Services, LLC","6048","07/08/2011","10/21/2014"
"International Remittances, Inc.","1141","05/09/1958","12/31/1988"
"International Research Associates, Inc.","3308","11/25/1981","06/28/1983"
"International Strategic & Consulting Group, Inc.","5387","09/28/2000","09/30/2000"
"International Strategies, Inc.","4886","01/26/1994","10/17/1994"
"International Technology & Trade Associates, Inc.","4341","02/21/1990","09/29/1993"
"International Technology and Trade Associates, Inc. (ITTA)","5458","09/10/2001","12/31/2001"
"International Trade & Development Agency, Inc.","3690","06/13/1985","12/31/2020"
"International Trade Promotion, Ltd.","4119","04/15/1988","04/15/1992"
"International Underwriting Association of London","5296","01/12/1999","01/31/2012"
"Intervest Agency, Ltd.","3186","01/07/1981","08/06/1992"
"Intourist U.S.A., Inc.","1240","06/23/1959","06/23/1993"
"Inuit Circumpolar Conference (ICC)","3491","06/24/1983","11/12/1987"
"Invest El Salvador","6890","11/13/2020","12/31/2021"
"Invest India","7428","07/03/2024",""
"Invest Northern Ireland","4364","04/13/1990",""
"Invest SP USA, LLC","7054","12/06/2021",""
"Investment Diplomacy Group, LLC","6351","05/09/2016","12/31/2016"
"Ippan Shadan Hojin Nippon Keizai Dantai Rengokai (KEIDANREN)","6574","07/20/2018","01/31/2019"
"Ira Shapiro Global Strategies, LLC","6292","05/08/2015","11/30/2016"
"Iranian Resurgent Party  I.R.P.","6934","03/10/2021",""
"Iraq Advisory Group FZE","6641","02/25/2019","10/20/2019"
"Iraqi Center for Development","6084","01/06/2012","07/27/2012"
"Iraqi Nationalist Opposition Front (INOF)","6992","08/16/2021",""
"Irish Northern Aid Committee","2239","01/29/1971","01/29/1991"
"Irish Republic Army Prisoners' Dependents Fund Committee","1149","06/11/1958","12/12/1958"
"Iron Bridge Strategies LLC","6497","12/08/2017",""
"Irwin W. Stolz, Jr.","2826","08/30/1977","12/29/1978"
"Isdory Phocus Lyamuya","6550","04/30/2018","10/31/2018"
"Islami Jamhoori Ittehad of America","4291","09/14/1989","03/31/1991"
"Ispahani, Mirza Abolhassan","396","11/19/1946","11/19/1946"
"Israel Communications, Inc.","2097","08/02/1968","06/12/1973"
"Israel Consult, Inc.","5580","10/06/2003","07/31/2007"
"Israel Government Tourist Office","620","03/27/1950","09/15/1988"
"Israel Information Services","543","10/12/1948","11/01/1971"
"Israel Philatelic Agency in America, Inc.","830","05/18/1954","12/02/1966"
"Italcambio, Inc.","2460","09/12/1973","03/12/1977"
"Italian Government Tourist Board (ENIT), Los Angeles","1884","04/19/1965","12/31/2018"
"Italian Government Tourist Board, New York","568","04/21/1949",""
"Italian Government Travel Office, Chicago","1892","06/07/1968","12/31/2018"
"Italian Public Relations Associates - Italpublic, S.p.A.","3676","03/27/1985","03/17/1993"
"Italsud Tours, Inc.","3849","06/27/1986","07/07/1995"
"Itkin, Herbert","1641","06/14/1963","09/04/1964"
"Itskov, Andrei Nikolaevich","1820","11/24/1964","07/06/1965"
"Ivan Bloch & Associates","965","07/30/1956","01/31/1958"
"Ivins, Phillips & Barker","3595","06/08/1984","07/07/1987"
"Ivins, Phillips & Barker","2326","03/15/1972","11/13/1972"
"Ivkovic, Milos","6987","08/05/2021","10/16/2023"
"J&D International Consulting Services, LLC","5692","07/01/2005","07/31/2007"
"J. Crawford Cook, Inc.","2869","03/20/1978","04/02/1981"
"J. Royal Parker Associates","4348","03/07/1990","01/11/1993"
"J. Royal Parker Associates, Inc.","2828","08/29/1977","04/04/1979"
"J. Sutherland Gould Associates","1408","11/04/1960","12/08/1981"
"J. Walter Thompson Company","2996","02/08/1979","12/01/1980"
"J. Wilfrid Gagen Associates","3157","10/17/1980","03/31/1982"
"J. Woodman Associates, Inc.","3590","05/31/1984","03/12/1993"
"J.B. Rundle, Inc., Advertising","1698","03/06/1964","12/03/1965"
"J.H. Hollis & Company","3966","04/30/1987","12/31/1988"
"J.H.S. Group, Inc.","4941","08/16/1993","02/28/1996"
"J.J. Grady Company, Inc.","3250","06/24/1981","12/24/1991"
"J.M. Dent & Sons (Canada), Ltd.","179","02/12/1943","08/13/1947"
"J.M. Mathes, Inc.","590","09/21/1949","03/20/1952"
"J.R. Bechtle & Company","4057","11/12/1987","12/24/1994"
"J.R. Bechtle & Company","4019","08/03/1987","12/24/1994"
"J.R. Taft Corporation","2245","03/08/1971","03/27/1973"
"JAMPRO","4232","03/29/1989","06/30/1998"
"JBS International Associates, Ltd.","2320","02/24/1972","10/09/1972"
"JD Communikaters, Inc.","4579","10/22/1991","04/30/1994"
"JDA Frontline Partners, LLC","6901","12/28/2020","05/31/2021"
"JDA Frontline Partners, LLC","7102","03/23/2022",""
"JETRO, Atlanta","4069","12/01/1987",""
"JETRO, Chicago","1850","02/02/1965",""
"JETRO, Dallas (Japan External Trade Organization)","2820","08/08/1977","03/24/2003"
"JETRO, Denver","4017","07/28/1987","10/28/2004"
"JETRO, Houston","2277","09/20/1971",""
"JETRO, Long Beach","2425","05/10/1973","09/07/1976"
"JETRO, Los Angeles","1833","12/14/1964",""
"JETRO, New York","1643","06/25/1963",""
"JETRO, Puerto Rico","2468","10/23/1973","03/31/1991"
"JETRO, San Francisco","1813","11/05/1964",""
"JFCC, Washington Office","4440","11/21/1990","12/22/2005"
"JJ&B, LLC","6809","03/31/2020","09/29/2022"
"JMC Associates, Inc.","4441","11/26/1990","08/03/1993"
"JMF Travel Representation, Inc.","3808","04/08/1986","04/01/1992"
"JPC Strategies, LLC","6505","01/11/2018","01/27/2021"
"JPW Communications","6670","04/26/2019","06/30/2019"
"JWI, LLC","4990","02/06/1995",""
"JWT Asiatic, a division of WPP Marketing Communications (Pvt.) Ltd.","5722","12/01/2005","06/30/2006"
"Jaakson, Ernst Rudolf","91","08/12/1942","02/12/1947"
"Jack E. Buttram & Company","4913","05/12/1994","08/05/1994"
"Jack E. Buttram Company, Inc.","3309","11/25/1981","10/13/1982"
"Jack E. Buttram Company, Inc.","3588","05/18/1984","05/02/1990"
"Jack H. McDonald Company","3956","04/01/1987","05/06/1991"
"Jack J. Morris Associates, Inc.","2281","09/29/1971","10/05/1973"
"Jack J. Morris Associates, Inc.","3195","02/02/1981","08/25/1981"
"Jack McDonald Associates, Inc.","3038","07/13/1979","05/01/1986"
"Jack Raymond & Company, Inc.","3659","03/14/1985","03/14/1985"
"Jack Shelton, Inc.","3129","08/04/1980","08/24/1981"
"Jackson & Kelly","4540","07/10/1991","11/06/1992"
"Jackson Kelly, PLLC","5962","11/13/2009","06/30/2011"
"Jackson, Beau A.","6208","01/30/2014","04/30/2014"
"Jackson, Bruce Parkyn","2006","02/17/1967","09/21/1967"
"Jackson, Robert Porter","6915","01/24/2021","08/31/2022"
"Jackson, Sara C.","3391","06/22/1981","07/05/1983"
"Jacobs Global Trade & Compliance LLC","6656","04/08/2019",""
"Jacobs, Barry","5900","12/16/2008","12/31/2009"
"Jaffe, Jordan A.","5200","08/11/1997","08/11/1997"
"Jake Perry + Partners LLC","6886","11/03/2020","09/30/2021"
"Jamaica Industrial Development Corporation","1444","05/03/1961","08/18/1981"
"Jamaica National Export Corporation","3204","02/26/1981","03/17/1989"
"Jamaica National Investment Promotion, Ltd.","3216","03/26/1981","03/18/1979"
"Jamaica Progressive League, Inc.","296","03/12/1945","03/09/1993"
"Jamaica Reservation Service","2941","08/09/1978","01/31/1991"
"Jamaica Tourist Board, Chicago","2118","12/16/1968","06/16/2004"
"Jamaica Tourist Board, Florida","2360","07/26/1972",""
"Jamaica Tourist Board, Los Angeles","3305","11/18/1981","05/18/2004"
"Jamaica Tourist Board, Los Angeles","2316","02/15/1972","03/12/1976"
"Jamaica Tourist Board, Miami","1909","07/22/1965","07/23/1970"
"Jamaica Tourist Board, Michigan","2333","04/19/1972","04/11/1978"
"Jamaica Tourist Board, New York","1445","05/03/1961","05/03/2004"
"Jamaica Tourist Board, Philadelphia","2556","01/29/1975","03/27/1978"
"Jamaica Tourist Board, San Francisco","2317","02/15/1972","12/18/1972"
"Jamaica Tourist Board, Washington, D.C.","2268","07/09/1971","07/31/1976"
"Jamaican-American Foundation, Inc.","3722","08/21/1985","01/18/1990"
"James & Hoffman, PC","5822","08/03/2007","02/29/2008"
"James C. Corman, P.C.","4110","03/24/1988","12/06/1989"
"James C. Seix Company, Inc.","2156","08/01/1969","03/16/1972"
"James C. Seix Company, Inc.","1064","09/09/1957","07/31/1964"
"James F. Fox, Inc.","2160","08/27/1969","09/24/1970"
"James F. Fox, Inc.","2038","08/15/1967","03/18/1968"
"James F. Fox, Inc.","1960","02/04/1966","02/04/1966"
"James Finlay International, Inc.","3351","04/05/1982","09/05/1985"
"James J. Larkin Associates, Inc.","1523","03/09/1962","09/09/1962"
"James M. Johnson","7256","04/10/2023","04/30/2024"
"James N. Juliana Associates","2083","03/25/1968","02/07/1975"
"James S. Nathanson & Associates, LLC","6403","02/22/2017","06/28/2017"
"James S. Vlasto Associates","2044","08/30/1967","05/13/1968"
"James, Chauncey Thomas","1193","01/13/1959","01/13/1959"
"James, John D.","4836","08/02/1993","08/31/1993"
"James, Leonard Gage","1554","07/03/1962","04/11/1969"
"James, Oscar S.","2080","03/19/1968","05/30/1975"
"Jameson, Donald F.B.","4960","10/06/1994","10/31/1995"
"Jane Hoffman","6828","05/20/2020","10/16/2020"
"Jankowicz, Nina","7192","11/18/2022","04/01/2024"
"Jansen, Leendert Frederik","455","04/16/1947","10/01/1953"
"Janus-Merritt Strategies, LLC","5326","08/31/1999","02/29/2000"
"Japan Automobile Manufacturers' Association, Inc.","3101","04/15/1980","04/16/1996"
"Japan Broadcasting Corporation","820","03/15/1954","01/15/1985"
"Japan Center for Information & Cultural Affairs (JCIC)","3535","10/28/1983","04/29/1987"
"Japan Center for Intercultural Communications (JCIC)","4998","03/01/1995","03/31/2011"
"Japan Economic Institute of America","929","01/25/1956","03/31/2001"
"Japan Eyeware Information Service","2294","12/07/1971","03/25/1974"
"Japan Federation of Economic Organizations (Keidanren)","4487","03/19/1991","09/30/1996"
"Japan Iron & Steel Federation","3155","10/09/1980","04/09/2002"
"Japan Marketing","5327","09/02/1999","03/31/2004"
"Japan National Tourism Organization","769","05/26/1953",""
"Japan National Tourism Organization, Los Angeles","2350","07/03/1972",""
"Japan National Tourist Organization, Chicago","2347","07/03/1972","07/31/2003"
"Japan National Tourist Organization, Dallas","2348","07/03/1972","03/31/1995"
"Japan National Tourist Organization, Hawaii","2351","07/03/1972","08/31/1985"
"Japan National Tourist Organization, San Francisco","2349","07/03/1972","03/31/2006"
"Japan Tobacco, Inc.","3568","03/13/1984","03/13/1991"
"Japan Trade Center, New Orleans","1768","07/07/1964","06/18/1969"
"Japan Trade Center, New Orleans","2309","01/25/1972","12/05/1977"
"Japan Trade Promotion Office (JTPO)","1113","02/06/1958","09/16/1976"
"Japaridze, Tedo","6131","09/06/2012","10/01/2012"
"Jarrell, William Patrick","6153","01/28/2013","01/28/2013"
"Jarvinen, Vilho Olavi","24","07/09/1942","07/09/1943"
"Jasculca/Terman & Associates, Inc.","4289","09/12/1989","05/04/1993"
"Jatta, Ophelia","3755","11/12/1985","06/26/1987"
"Jay Parker & Associates, Inc.","2752","02/10/1977","03/03/1978"
"Jay Parker & Associates, Inc.","3227","04/15/1981","09/08/1988"
"Jefferson Group, Inc.","4139","05/11/1988","12/31/1994"
"Jeffrey Bader LLC","7295","07/13/2023","07/13/2023"
"Jeffrey, Donald Cameron","1904","06/23/1964","03/01/1968"
"Jellinek, Schwartz & Connolly, Inc.","4345","02/23/1990","02/28/2001"
"Jenkins Jr. M.D., Benjamin","1629","05/20/1963","12/05/1973"
"Jenkins, Ray L.","1056","08/14/1957","08/14/1962"
"Jenkins, Taunya B.","5464","10/23/2001","10/31/2001"
"Jennings, John M.","5142","12/04/1996","12/31/1996"
"Jensen, Karl E.","533","08/04/1948","03/01/1949"
"Jensen/Boga Inc.","5495","05/10/2002","05/31/2003"
"Jerome Jacobson Associates","762","04/10/1953","04/10/1956"
"Jerome Jacobson Associates","708","01/16/1952","07/16/1952"
"Jerris Leonard & Associates, P.C.","3214","03/17/1981","01/15/1982"
"Jerry W. Torres","7312","08/11/2023","08/24/2023"
"Jessing, Per Ingvar","4976","12/05/1994","12/30/1995"
"Jewell, David A.","3148","09/10/1980","12/31/1980"
"Jewish Agency - American Section, Inc.","6191","10/29/2013",""
"Jiougjda, Robertasse","1905","06/29/1965","07/16/1968"
"Jodele, Julius","4712","09/28/1992","06/21/1993"
"Joe Trippi & Associates","6060","08/22/2011","04/30/2012"
"John A. Cairns & Company, Inc.","354","04/23/1946","10/23/1946"
"John A. Clements Associates","872","02/07/1955","06/29/1955"
"John A. Tetley Company, Inc.","1630","05/23/1963","03/31/1969"
"John Adams Associates, Inc.","4535","07/05/1991","11/24/1992"
"John Aycoth & Company, Inc.","3404","08/24/1982","08/03/1987"
"John C. Metcalfe & Associates, Inc.","838","07/27/1954","07/27/1959"
"John D. Brady & Associates, Inc.","3288","10/08/1981","07/09/1982"
"John G. Campbell Consultants, Inc.","4015","07/22/1987","01/27/1989"
"John G. Campbell, Inc.","4903","03/15/1994","06/07/1994"
"John G. Gelinas & Associates, Inc.","2681","04/08/1976","06/30/1989"
"John G. Laylin & Edward B. Burling","397","11/19/1946","08/16/1947"
"John H. Shepherd & Associates, Ltd.","3704","07/16/1985","08/03/1987"
"John Lord O'Brian & John G. Laylin","442","02/26/1947","08/26/1947"
"John Moynahan & Associates","1033","06/06/1957","10/23/1963"
"John Moynahan & Associates","879","03/18/1955","09/01/1955"
"John R. Zagame Associates, Inc.","4216","02/14/1989","03/09/1990"
"John Scott Fones, Inc.","2387","10/18/1972","09/08/1982"
"Johnson II, Robert Winthrop","4460","01/09/1991","01/31/2010"
"Johnson Jr., Stuart Holmes","2064","11/20/1967","11/20/1967"
"Johnson, Donald G.","3882","09/12/1986","04/21/1993"
"Johnson, James M.","5710","09/09/2005","03/31/2007"
"Johnson, Larry Calvin","7487","11/07/2024",""
"Johnson, Madigan, Peck, Boland, Dover & Stewart, Inc.","5526","10/18/2002","04/30/2005"
"Johnson, Robert Bruce","2046","09/06/1967","03/31/1969"
